from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000156983,P55201,BRPF1,BRPF1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000206510,Q9NU63,ZFP57,ZFP57,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000136463,Q9BSH4,TACO1,TACO1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000231737,Q96QC0,PPP1R10,PPP1R10,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000171033,P61925,PKIA,PKIA,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000167264,Q9NX74,DUS2,DUS2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000235589,Q5JNZ3,ZNF311,ZNF311,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000166206,P28472,GABRB3,GABRB3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000235017,P06681,C2,C2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000183696,Q16831,UPP1,UPP1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000104427,Q96GY0,ZC2HC1A,ZC2HC1A,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000160932,Q16553,LY6E,LY6E,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000263201,A0A0U1RQF7,DPEP2NB,DPEP2NB,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000011332,Q92782,DPF1,DPF1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000155465,Q9UM01,SLC7A7,SLC7A7,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000254852,E9PIF3,NPIPA2,NPIPA2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000135535,Q04900,CD164,CD164,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000087152,Q14CW9,ATXN7L3,ATXN7L3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000268916,Q9Y5P2,CSAG3,CSAG3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000184735,Q86TM3,DDX53,DDX53,NA,from_to,RNA_to_Protein,RNA,Protein
