"","HYG_005_V1","HYG_012_V1","HYG_015_V1","HYG_017_V1","HYG_018_V1","HYG_019_V1","HYG_020_V1","HYG_021_V1","HYG_022_V1","HYG_023_V1","HYG_024_V1","HYG_025_V1","HYG_001_V1","HYG_003_V1","HYG_004_V1","HYG_008_V1","HYG_036_V1","HYG_049_V1","HYG_054_V1","HYG_055_V1","HYG_056_V1","HYG_065_V1","HYG_069_V1","HYG_071_V1"
"ENSG00000188811",9.94573084376098,10.8490264381587,10.2969838675782,9.70414089007981,10.476550048717,10.4673031641943,10.7624300978667,10.0554345665888,10.144729910198,10.1541667614107,10.0460228131006,9.99495870120709,9.26552553786408,9.48082578455654,11.0070460020483,10.1593320833053,10.3859569872541,9.82678430210694,9.61396185437472,10.2252253195003,10.7862382797285,9.98921708130786,10.5345451265017,10.611874478362
"ENSG00000041353",10.1996576621375,10.767489472581,12.6155650742234,11.3306416684508,11.8609668544994,10.9315642142458,11.796892892011,10.7875561369841,11.0742663186163,11.1515554816717,12.3520045021473,11.0409181482468,10.3782143251013,12.6240635312004,12.171128217339,11.846851792318,11.7801885749277,12.3069989024532,10.6912540077858,11.035653744792,9.83828077917377,13.0684295357595,11.0929587208741,11.2370769235499
"ENSG00000091164",9.73220431782544,10.1151786147739,10.0624637026156,10.0436280471539,10.129319585147,10.1306579524807,10.1025113262848,10.1791875702325,10.5097644509259,10.4081694581309,10.2306346209819,10.2195691590655,10.7002505011421,9.95148039465681,10.1497003070718,9.85669031646774,10.3938259733957,10.5308490836077,10.2390927069551,10.4692752104253,10.2631371344422,10.3970664474114,10.5704732944478,10.1161722970866
"ENSG00000081913",8.66670475357938,9.43017048454222,9.06658261452817,8.91172451852924,8.50869263614215,8.51728329145964,8.67319173955416,9.16502829996829,8.25904994171186,8.70821280311817,9.49118361711579,9.18974462157862,9.53148662111209,8.97947545147192,10.1972648988826,8.89295884905136,9.13963138567124,10.8943622689836,8.62080751751997,9.10541267372532,10.0037508218801,10.5498631728664,9.2097309692236,8.35503137995489
"ENSG00000071991",5.6220448006723,5.6220448006723,5.83826323934763,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,6.0145186717744,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723
"ENSG00000101474",13.1240629430646,12.3117918091318,12.1218113499555,11.8977540190126,12.6561583469261,11.8673621683549,11.7079948197661,12.4295601919971,11.9023757495664,11.9385473358,12.3140775783044,12.3640900313578,13.7493221925883,14.0961321716577,13.0268161470336,13.0782919857795,12.5717381235929,13.7580757562322,12.8206058896566,12.8856157805017,14.2724667375063,14.5623095020496,12.8960588714587,12.8507948122487
"ENSG00000182871",11.3579064719844,9.48942891861692,10.1482598411189,11.4517864000341,10.60608252576,8.387025451469,9.39212570251231,10.5844060502984,9.3310281229986,9.42651257676085,10.061753512984,10.1538382847303,10.7702260523591,11.973617776573,10.819752269595,8.65705792869405,10.0751076362582,10.8010006844813,10.7351789751153,9.39950916994273,10.7855237520054,11.0190622551866,10.5043467822373,9.26732846087021
"ENSG00000136156",14.609080987746,16.4645794809265,15.027334589981,14.830320278849,14.8561261562847,14.2630158765338,15.2311655500231,14.6908947608108,14.5480659431286,14.806175102131,15.1184082529945,14.606784427873,15.8654937793682,15.6743970465287,16.296956250542,15.0492459692196,15.1763400531896,16.2614691671898,15.6612546113652,15.2312016380425,15.1017429135164,16.5003893876364,15.8227618669726,14.5126532933217
"ENSG00000159055",6.73278544175177,5.6220448006723,6.77639058740355,7.57206841337725,7.23071937197473,7.20008789898767,7.20342236751766,6.85755047980864,7.21644814872032,7.49594156180351,7.05317883932001,7.26753880009497,6.75963877999115,6.84207642776357,6.05512117832729,5.6220448006723,7.285773923899,6.44593591829209,6.61486982266595,6.61259259003224,6.58395482997962,7.62520090315893,6.7559850650062,7.23462534102781
"ENSG00000080618",5.6220448006723,7.4245954022026,6.22967430436496,5.6220448006723,6.48052751129074,5.6220448006723,6.53190007168222,5.99655891736912,5.6220448006723,5.6220448006723,6.04214701502614,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,5.6220448006723,6.04068881971485,6.23978588193249,5.6220448006723,5.6220448006723,6.09067527405305,6.46850298812553,5.95712277883856,6.417904972844
